name,des
道士下山,《道士下山》是由新丽传媒股份有限公司出品的奇幻冒险戏剧影片，影片由陈凯歌执导，王宝强、郭富城等联袂主演。讲述的是不谙世事的小道士，因为闹粮荒离开道观下了山，一脚踏入了光怪陆离的万丈红尘之中，他以一颗赤子之心面对一切，才发现这个世界与他的想象有多么不同，他终于明白了临下山前师傅说过的一句话：“不择手段是豪杰，不改初衷真英雄”。
和你在一起,《和你在一起》是2002年上映的一部电影，由陈凯歌执导，陈红、陈凯歌为制片人，刘佩琦、唐韵等主演。该剧讲述一个拉琴的少年，按照心灵的指引和成长的真实愿望，感性、温暖地萌动自己青春的枝芽。
搜索,《搜索》是由陈凯歌自编自导的剧情电影，由高圆圆、姚晨主演，于2012年7月6日在中国内地上映。影片改编自小说《请你原谅我》，讲述都市白领叶蓝秋因为一件公车不让座的小事，而引发了蝴蝶效应般的网络暴力，以致最终被逼到生活的死角的故事。
芳华,《芳华》是由浙江东阳美拉传媒有限公司出品的剧情片，由冯小刚执导，严歌苓编剧，黄轩、苗苗主演。该影片根据严歌苓同名小说改编，以1970至1980年代为背景，讲述了在充满理想和激情的军队文工团，一群正值芳华的青春少年，经历着成长中的爱情萌发与充斥着变数的人生命运故事。该片于2017年12月15日在中国、北美地区同步上映。
尘埃里开花,《尘埃里开花》是由陈凯歌执导，刘昊然、陈飞宇等主演的青春现实题材电影。
致命温柔,《温柔地杀我》，常译《杀死你的温柔》，是由陈凯歌执导，海瑟·格拉汉姆、约瑟夫·费因斯等主演的悬疑惊悚片。  
长津湖,《长津湖》由陈凯歌、徐克联合执导，吴京、易烊千玺领衔主演的抗美援朝电影 ，该片于2021年9月30日在中国大陆上映。将于11月11日在中国香港及中国澳门上映。
无极,《无极》是陈凯歌执导的一部东方奇幻史诗电影，由张东健、真田广之主演。影片于2005年12月15日登陆中国院线。影片讲述了一个穷孩子受到命运女神眷顾，成为世上最美的倾城王妃，但命运诅咒永远得不到真爱，身份卑微的昆仑奴，真心爱她，以自己的生命为代价，让她获得重新选择的权利。
2046,《2046》是由香港导演王家卫执导，梁朝伟、巩俐主演，张曼玉特别出演的剧情片。影片主要讲述了周慕云为了与过去作更好的告别，将生活的点点滴滴化为文字，写下小说《2046》的过程。本片于2004年09月28日上映。
每人一部电影,《每个人都有他自己的电影》是2007年上映的一部剧情电影，该片由西奥·安哲罗普洛斯等导演，乔治·巴布鲁阿尼，Cindy Beckett 等领衔主演。该片讲述了35位与戛纳有联系的世界知名导演对于电影院的感受与感情故事。
跟踪,《跟踪》是2001年王家卫导演的一部悬疑类短片，短短的8分钟，却具备电影所有要素，讲述的是一个巨星怀疑妻子不忠而派司机跟踪她的故事。
蓝莓之夜,《蓝莓之夜》是根据王家卫早年在香港拍摄过的一个短片改编而成的，是王家卫执导的首部英语电影，由诺拉·琼斯、裘德·洛等联袂出演。影片于2007年5月16日在戛纳电影节率先放映。
一代宗师,《一代宗师》是香港导演王家卫执导的功夫电影，由梁朝伟、章子怡等人主演。该片讲述了民国期间“南北武林”多个门派宗师级人物，以及一代武学宗师叶问的传奇一生。2013年1月8日于中国内地上映，2月7日作为第63届柏林国际电影节开幕电影。该片先后获得亚洲电影大奖最佳影片、香港电影金像奖最佳影片、金鸡百花电影节最佳影片等奖项。
我和我的祖国,《我和我的祖国》是由陈凯歌担任总导演，张一白、管虎联合执导，黄渤、张译主演的剧情片。该片讲述了新中国成立70年间普通百姓与共和国息息相关的故事，于2019年9月30日在中国大陆上映。
东邪西毒,《东邪西毒》是由王家卫执导，洪金宝担任动作指导，张国荣、林青霞等人主演的武侠电影，于1994年9月17日中国香港上映。影片改编自金庸小说《射雕英雄传》，讲述了欧阳锋的人生经历以及他和黄药师、大嫂、洪七等人的故事。1995年，影片获得第51届威尼斯国际电影节最佳摄影、第1届香港电影评论学会大奖最佳影片等奖项。
爱神,《爱神》是由王家卫、米开朗基罗·安东尼奥尼导演，王家卫、米开朗基罗·安东尼奥尼编剧，巩俐、张震等主演，于2004年12月3日在意大利上映。
花样年华,《花样年华》是由王家卫执导，梁朝伟、张曼玉主演的爱情片，于2000年9月29日在中国香港上映。该片以20世纪60年代的香港为背景，讲述了苏丽珍和周慕云在发现各自的配偶有婚外情后，两人开始互相接触并随之产生感情的故事。2000年，梁朝伟凭借该片获得第53届戛纳国际电影节最佳男主角奖。2001年，该片获得法国电影凯撒奖最佳外语片奖。2009年，该片被美国CNN评选为“最佳亚洲电影”第一位。
春光乍泄,《春光乍泄》是由王家卫执导，张国荣 、梁朝伟主演的剧情片，于1997年5月30日在中国香港上映。该片讲述了一对前往南美游玩的同性恋人因迷路而留在布宜诺斯艾利斯，之后两人因为一系列矛盾而分手的故事。1997年，该片入围第五十届戛纳国际电影节正式竞赛单元，王家卫凭借该片获得第五十届戛纳国际电影节最佳导演奖。梁朝伟获得第17届香港电影金像奖最佳男主角。
旺角卡门,《旺角卡门》是影之杰制作有限公司出品的剧情片，由王家卫执导，刘德华、张曼玉主演。影片于1988年6月9日在中国香港上映。影片讲述了黑道人物华为了照顾不成材的好友而跟黑道狠角色结仇，之后跑到离岛养伤，并且与表妹渐生情愫，但华的江湖身份却使这份感情屡遭挫折。1989年张学友凭借《旺角卡门》获得第8届香港电影金像奖最佳男配角奖。
重庆森林,《重庆森林》是泽东电影公司出品的一部都市时装片，由王家卫执导，林青霞、梁朝伟等主演。1994年7月14日，该片在香港上映。影片讲述了两个爱情故事：失恋的警察与神秘女杀手一段都市邂逅以及巡警663与快餐店女孩的爱情故事。
九一神雕侠侣,《九一神雕侠侣》是1991年天幕制作有限公司出品的动作电影。由黎大炜、元奎执导，刘德华、梅艳芳等主演。影片讲述了城市雇佣兵，在经历了朋友的离去和敌人的覆灭，厌倦打打杀杀最终隐退的故事。
妖猫传,《妖猫传》是由新丽传媒股份有限公司、角川映画株式会社出品的古装电影，由陈凯歌执导，王蕙玲编剧，黄轩、染谷将太等主演。该片改编自日本魔幻系列小说《沙门空海之大唐鬼宴》，讲述了一只口吐人语的妖猫搅动长安城，诗人白乐天与僧人空海联手探查，令一段被人刻意掩埋的真相浮出水面的故事。
再战江湖,《再战江湖》是由张同祖执导的一部剧情片，任达华、罗美薇等主演。电影讲述了龙浩天（邓光荣饰演）乃加拿大黑社会堂口首领，龙妻（吴家丽饰演）鉴于龙只顾道义不理家庭，欲携幼女回港龙不允，最后龙妻挥泪而去的故事。
猎鹰计划,《猎鹰计划》是由罗文执导的动作片，刘德华、吕良伟等参加演出。该片讲述了国华将湖南帮消灭，报了杀友之仇的故事。
猛鬼差馆,《猛鬼差馆》是刘镇伟联手王家卫在1987年导演的一部作品，张学友、许冠英等联合主演。影片讲述张学友与许冠英是警员拍档，他俩所在的警察局在三十年代曾是日军的军营，日本战败后，曾有多位日本军人在那里集体剖腹自杀，他们冤魂不散，每逢鬼节就会蠢蠢欲动。金与孟收到得道高人的警告，说盂兰节这些冤魂会出现，但金与孟不信鬼神，对此不以为然。
堕落天使,《堕落天使》是由泽东电影公司出品的文艺片，由香港导演王家卫执导，黎明，李嘉欣等人主演。影片讲述了五个行为互相交错的人物在都市的夜空下，彼此之间相遇后发生的一系列的故事。影片于1995年9月21日在中国香港上映。
恶男,电影《恶男》由陈勋奇、陈冲领衔主演，王家卫编剧。
江湖龙虎斗,《江湖龙虎斗》是张同祖执导，周润发、邓光荣等主演的动作片。该片于1987年7月30日在香港上映。影片讲述了黑手党内的两大头目争权夺利，以及陈伟伦和张浩天两个异姓兄弟之间相依为命，共同奋斗的故事。
猛鬼学堂,《猛鬼学堂》是由刘镇伟执导，许冠英、张学友等主演的喜剧鬼片，该片于1988年4月28日年在中国香港上映。影片讲述了不知什么时候，僵尸竟然窜上了香港的街头，由于被咬的人随后也会变成僵尸，一时间变得僵尸遍街，人们陷入了恐惧当中的故事。
神勇双响炮续集,《神勇双响炮续集》是洪金宝制作并监制，张同祖执导，元彪、卢冠廷等人主演的动作喜剧电影。
